Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Header.stamp.secs,Offset_UTM_easting,Offset_UTM_northing
1663962265.3466,0,71065,0,GPS1_Frame,42.3337133333333,-71.0886983333333,17,327922.107540673,4688941.89072157,19,T,1158,922.10754067346,441.890721572563
1663962266.34972,0,71066,0,GPS1_Frame,42.333705,-71.0886883333333,17,327922.90869978,4688940.94513328,19,T,1159,922.908699779771,440.945133278146
1663962267.38123,0,71067,0,GPS1_Frame,42.333695,-71.08868,16.9,327923.567999076,4688939.81784714,19,T,1160,923.567999075982,439.817847137339
1663962268.34828,0,71068,0,GPS1_Frame,42.333685,-71.0886716666667,16.8,327924.227298597,4688938.69056107,19,T,1161,924.22729859699,438.69056106545
1663962269.34812,0,71069,0,GPS1_Frame,42.3336766666667,-71.0886616666667,16.7,327925.028458375,4688937.74497303,19,T,1162,925.028458375135,437.744973034598
1663962270.35373,0,71070,0,GPS1_Frame,42.33367,-71.0886516666667,16.7,327925.834163833,4688936.98445564,19,T,1163,925.834163832828,436.98445563484
1663962271.35052,0,71071,0,GPS1_Frame,42.3336666666667,-71.0886366666667,16.4,327927.060904048,4688936.58396183,19,T,1164,927.060904047685,436.583961832337
1663962272.35147,0,71072,0,GPS1_Frame,42.3336566666667,-71.0886283333333,16.4,327927.720204457,4688935.45667612,19,T,1165,927.720204456826,435.45667612087
1663962273.38206,0,71073,0,GPS1_Frame,42.3336483333333,-71.0886183333333,16.5,327928.521365086,4688934.51108852,19,T,1166,928.521365085559,434.511088518426
1663962274.34268,0,71074,0,GPS1_Frame,42.33364,-71.0886083333333,16.6,327929.322525937,4688933.56550102,19,T,1167,929.322525937401,433.565501016565
1663962275.38251,0,71075,0,GPS1_Frame,42.3336316666667,-71.0885983333333,16.5,327930.12368701,4688932.61991361,19,T,1168,930.123687010259,432.619913613424
