Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1663962447.3899298,0,71247,0,GPS1_Frame,42.33271666666666,-71.08708833333334,17.3,328052.03718768206,4688827.961873844,19,T
1663962448.3562708,0,71248,0,GPS1_Frame,42.33271166666667,-71.087075,17.3,328053.12209487753,4688827.379702462,19,T
1663962449.3573558,0,71249,0,GPS1_Frame,42.332706666666674,-71.08706000000001,17.3,328054.3443188974,4688826.7941612955,19,T
1663962450.3591096,0,71250,0,GPS1_Frame,42.332701666666665,-71.08704666666667,17.3,328055.429226453,4688826.211990282,19,T
1663962451.3951304,0,71251,0,GPS1_Frame,42.332694999999994,-71.087035,17.3,328056.3722756628,4688825.448118871,19,T
1663962452.351732,0,71252,0,GPS1_Frame,42.33268833333333,-71.08702166666667,17.3,328057.4526417649,4688824.680877701,19,T
1663962453.3555362,0,71253,0,GPS1_Frame,42.332683333333335,-71.08700833333334,17.2,328058.53754989285,4688824.098707187,19,T
1663962454.35587,0,71254,0,GPS1_Frame,42.33267833333333,-71.08699333333334,17.3,328059.75977490644,4688823.513166997,19,T
1663962455.3576758,0,71255,0,GPS1_Frame,42.33267333333333,-71.08698,17.4,328060.8446833967,4688822.930996852,19,T
1663962456.3949149,0,71256,0,GPS1_Frame,42.33266833333334,-71.08696666666667,17.5,328061.9295920574,4688822.3488268815,19,T
1663962457.3536332,0,71257,0,GPS1_Frame,42.33266333333333,-71.08695333333334,17.6,328063.014500897,4688821.766657084,19,T
1663962458.3915567,0,71258,0,GPS1_Frame,42.332656666666665,-71.08694166666668,17.6,328063.9575515127,4688821.002786742,19,T
1663962459.397257,0,71259,0,GPS1_Frame,42.33265166666667,-71.08692833333333,17.6,328065.04246071837,4688820.420617271,19,T
1663962460.3573332,0,71260,0,GPS1_Frame,42.33264666666667,-71.08691666666667,17.7,328065.99005332147,4688819.841817697,19,T
1663962461.3582728,0,71261,0,GPS1_Frame,42.332640000000005,-71.08690499999999,17.8,328066.9331045146,4688819.077947774,19,T
1663962462.4329872,0,71262,0,GPS1_Frame,42.332634999999996,-71.08689166666666,17.8,328068.0180142523,4688818.495778781,19,T
1663962463.3536558,0,71263,0,GPS1_Frame,42.33262833333333,-71.08687833333333,17.8,328069.09838266263,4688817.728539481,19,T
1663962464.3606398,0,71264,0,GPS1_Frame,42.33262333333334,-71.08686666666668,17.8,328070.0459759475,4688817.149740477,19,T
1663962465.3576086,0,71265,0,GPS1_Frame,42.33261833333333,-71.086855,17.7,328070.99356939166,4688816.570941607,19,T
1663962466.3917863,0,71266,0,GPS1_Frame,42.332613333333335,-71.08684333333333,17.6,328071.9411629869,4688815.992142869,19,T
1663962467.352718,0,71267,0,GPS1_Frame,42.33260666666667,-71.08682999999999,17.5,328073.0215321984,4688815.224904201,19,T
1663962468.3531687,0,71268,0,GPS1_Frame,42.33260166666667,-71.08681666666666,17.5,328074.1064430131,4688814.642736187,19,T
1663962469.3577228,0,71269,0,GPS1_Frame,42.33259666666666,-71.08680333333334,17.4,328075.1913539983,4688814.060568345,19,T
1663962470.3593743,0,71270,0,GPS1_Frame,42.332589999999996,-71.08679000000001,17.4,328076.2717238541,4688813.2933302,19,T
1663962471.3528707,0,71271,0,GPS1_Frame,42.332585,-71.08677666666668,17.3,328077.35663521825,4688812.711162705,19,T
1663962472.3568652,0,71272,0,GPS1_Frame,42.33258000000001,-71.08676333333332,17.4,328078.4415467634,4688812.128995387,19,T
1663962473.360327,0,71273,0,GPS1_Frame,42.332575,-71.08675,17.3,328079.52645847906,4688811.546828241,19,T
1663962474.3593318,0,71274,0,GPS1_Frame,42.332570000000004,-71.08673666666667,17.2,328080.61137036944,4688810.9646612685,19,T
1663962475.4253228,0,71275,0,GPS1_Frame,42.33256500000001,-71.08672499999999,17.3,328081.55896548094,4688810.3858638825,19,T
1663962476.3533359,0,71276,0,GPS1_Frame,42.332559999999994,-71.08671166666666,17.2,328082.64387770987,4688809.803697234,19,T
1663962477.3918226,0,71277,0,GPS1_Frame,42.332555,-71.08669833333333,16.9,328083.72879011574,4688809.221530762,19,T
1663962478.359499,0,71278,0,GPS1_Frame,42.33255166666666,-71.086685,16.6,328084.8182437681,4688808.824434939,19,T
1663962479.3964603,0,71279,0,GPS1_Frame,42.332546666666666,-71.08667,16.4,328086.04047348903,4688808.238899487,19,T
1663962480.3569517,0,71280,0,GPS1_Frame,42.33254166666667,-71.08665666666667,16.3,328087.1253863961,4688807.6567335585,19,T
1663962481.3954268,0,71281,0,GPS1_Frame,42.33253666666666,-71.08664333333333,16.1,328088.210299482,4688807.0745678,19,T
1663962482.3571944,0,71282,0,GPS1_Frame,42.33253166666667,-71.08662833333332,16.0,328089.4325297681,4688806.4890329605,19,T
1663962483.3572063,0,71283,0,GPS1_Frame,42.33252666666667,-71.086615,15.9,328090.51744321216,4688805.906867573,19,T
1663962484.3572161,0,71284,0,GPS1_Frame,42.332521666666665,-71.08660333333334,15.8,328091.46503978176,4688805.328071574,19,T
1663962485.3557813,0,71285,0,GPS1_Frame,42.332514999999994,-71.08659166666666,15.7,328092.40809563914,4688804.564205234,19,T
1663962486.3937602,0,71286,0,GPS1_Frame,42.33250833333333,-71.08657833333334,15.8,328093.48846877314,4688803.7969698515,19,T
1663962487.3855543,0,71287,0,GPS1_Frame,42.332503333333335,-71.08656666666667,15.9,328094.43606586684,4688803.218174272,19,T
1663962488.3557699,0,71288,0,GPS1_Frame,42.33249666666667,-71.08655333333333,16.0,328095.51643942867,4688802.450939217,19,T
1663962489.3535554,0,71289,0,GPS1_Frame,42.33249000000001,-71.08654166666666,16.2,328096.45949610666,4688801.687073449,19,T
1663962490.3554156,0,71290,0,GPS1_Frame,42.33248333333333,-71.08653,16.4,328097.40255298966,4688800.923207815,19,T
1663962491.3966436,0,71291,0,GPS1_Frame,42.332476666666665,-71.08651666666667,16.5,328098.48292721994,4688800.15597324,19,T
1663962492.3906286,0,71292,0,GPS1_Frame,42.33247166666667,-71.08650333333334,16.7,328099.56784236146,4688799.573809309,19,T
1663962493.4337559,0,71293,0,GPS1_Frame,42.332465,-71.08649166666667,16.8,328100.5108998623,4688798.809944114,19,T
1663962494.3592937,0,71294,0,GPS1_Frame,42.332460000000005,-71.08647833333333,16.9,328101.59581536986,4688798.2277805125,19,T
1663962495.3574665,0,71295,0,GPS1_Frame,42.332453333333326,-71.086465,16.9,328102.6761904637,4688797.460546609,19,T
1663962496.386228,0,71296,0,GPS1_Frame,42.33244666666666,-71.08645333333334,17.0,328103.6192485824,4688796.696681854,19,T
1663962497.3939035,0,71297,0,GPS1_Frame,42.33244,-71.08644,17.2,328104.69962413167,4688795.9294482805,19,T
1663962498.3553803,0,71298,0,GPS1_Frame,42.332435000000004,-71.08642666666667,17.2,328105.7845404137,4688795.347285351,19,T
1663962499.3533096,0,71299,0,GPS1_Frame,42.33242833333334,-71.08641333333334,17.2,328106.864916401,4688794.580052126,19,T
1663962500.3589365,0,71300,0,GPS1_Frame,42.332423333333324,-71.0864,17.3,328107.949833066,4688793.997889542,19,T
1663962501.354347,0,71301,0,GPS1_Frame,42.332415000000005,-71.08638833333333,17.5,328108.88835179526,4688793.048955063,19,T
1663962502.3960588,0,71302,0,GPS1_Frame,42.332408333333326,-71.086375,17.6,328109.9687284675,4688792.281722336,19,T
1663962503.3568892,0,71303,0,GPS1_Frame,42.33240333333333,-71.08636166666666,17.5,328111.0536457343,4688791.699560256,19,T
1663962504.3544257,0,71304,0,GPS1_Frame,42.33239833333334,-71.08634833333333,17.5,328112.1385631739,4688791.117398348,19,T
1663962505.360463,0,71305,0,GPS1_Frame,42.33239333333333,-71.08633499999999,17.5,328113.22348078806,4688790.535236613,19,T
1663962506.427969,0,71306,0,GPS1_Frame,42.332388333333334,-71.08632166666666,17.5,328114.30839857913,4688789.953075053,19,T
1663962507.3588016,0,71307,0,GPS1_Frame,42.33238333333334,-71.08630833333333,17.5,328115.39331654063,4688789.370913667,19,T
1663962508.3961399,0,71308,0,GPS1_Frame,42.33237666666667,-71.086295,17.5,328116.4736944698,4688788.603681987,19,T
1663962509.3967862,0,71309,0,GPS1_Frame,42.33237166666666,-71.08628333333333,17.5,328117.4212954412,4688788.0248896405,19,T
1663962510.3606946,0,71310,0,GPS1_Frame,42.332364999999996,-71.08627166666666,17.4,328118.36435640627,4688787.261026965,19,T
1663962511.3591423,0,71311,0,GPS1_Frame,42.33235833333333,-71.08626,17.4,328119.30741757643,4688786.497164424,19,T
1663962512.3576095,0,71312,0,GPS1_Frame,42.33235166666667,-71.08624833333333,17.6,328120.2504789515,4688785.733302015,19,T
1663962513.3959339,0,71313,0,GPS1_Frame,42.332345000000004,-71.08623833333333,17.7,328121.05622310075,4688784.972808363,19,T
1663962514.3549745,0,71314,0,GPS1_Frame,42.33233666666667,-71.08622833333334,17.7,328121.8574273634,4688784.027244344,19,T
1663962515.3605793,0,71315,0,GPS1_Frame,42.33233,-71.08621833333333,17.8,328122.66317188716,4688783.266750888,19,T
1663962516.4757338,0,71316,0,GPS1_Frame,42.332321666666665,-71.08620833333333,17.8,328123.4643765715,4688782.321187069,19,T
1663962517.4344764,0,71317,0,GPS1_Frame,42.332315,-71.08619833333334,17.9,328124.27012146986,4688781.560693811,19,T
1663962518.3612862,0,71318,0,GPS1_Frame,42.33230666666667,-71.08618833333334,17.9,328125.0713265737,4688780.61513019,19,T
1663962519.359316,0,71319,0,GPS1_Frame,42.33230166666667,-71.08617833333332,18.0,328125.8816117991,4688780.039707593,19,T
1663962520.360113,0,71320,0,GPS1_Frame,42.33229500000001,-71.08616833333333,18.0,328126.6873572258,4688779.279214632,19,T
1663962521.3591874,0,71321,0,GPS1_Frame,42.332288333333324,-71.08615833333333,18.1,328127.4931028307,4688778.518721767,19,T
1663962522.360387,0,71322,0,GPS1_Frame,42.33228166666666,-71.08615,18.1,328128.1615310415,4688777.761597483,19,T
1663962523.3596222,0,71323,0,GPS1_Frame,42.332274999999996,-71.08614166666666,18.1,328128.8299594037,4688777.004473267,19,T
1663962524.3584507,0,71324,0,GPS1_Frame,42.33227,-71.086135,18.1,328129.36561016727,4688776.435788036,19,T
1663962525.3973475,0,71325,0,GPS1_Frame,42.33226333333334,-71.08612666666666,18.2,328130.0340387886,4688775.678663945,19,T
1663962526.3594596,0,71326,0,GPS1_Frame,42.33225833333333,-71.08611666666667,18.2,328130.8443249897,4688775.103241953,19,T
1663962527.3607678,0,71327,0,GPS1_Frame,42.332255,-71.08610666666667,18.2,328131.65915111464,4688774.712890523,19,T
1663962528.399902,0,71328,0,GPS1_Frame,42.33225000000001,-71.08609499999999,18.2,328132.6067551954,4688774.134100336,19,T
1663962529.3600042,0,71329,0,GPS1_Frame,42.33224499999999,-71.086085,18.2,328133.41704177967,4688773.558678655,19,T
1663962530.4303586,0,71330,0,GPS1_Frame,42.33224,-71.08607333333333,18.3,328134.36464615166,4688772.979888715,19,T
1663962531.360069,0,71331,0,GPS1_Frame,42.33223666666666,-71.08606333333334,18.2,328135.17947270407,4688772.589537708,19,T
1663962532.3987792,0,71332,0,GPS1_Frame,42.332233333333335,-71.08605333333334,18.3,328135.99429934577,4688772.199186798,19,T
1663962533.3558187,0,71333,0,GPS1_Frame,42.332228333333326,-71.08604333333332,18.6,328136.8045864246,4688771.6237655245,19,T
1663962534.3571095,0,71334,0,GPS1_Frame,42.332225,-71.086035,18.6,328137.48209557205,4688771.236783104,19,T
1663962535.356795,0,71335,0,GPS1_Frame,42.33222166666666,-71.08602666666667,18.6,328138.1596047904,4688770.84980075,19,T
1663962536.3553557,0,71336,0,GPS1_Frame,42.33221833333334,-71.086015,18.6,328139.11174949165,4688770.456081934,19,T
1663962537.3617046,0,71337,0,GPS1_Frame,42.33221333333333,-71.08600333333334,18.7,328140.0593547328,4688769.877292793,19,T
1663962538.3578894,0,71338,0,GPS1_Frame,42.332208333333334,-71.08599166666666,18.7,328141.00696012715,4688769.298503785,19,T
1663962539.3587196,0,71339,0,GPS1_Frame,42.33220333333334,-71.08597833333333,18.7,328142.09188341204,4688768.71634671,19,T
1663962540.360623,0,71340,0,GPS1_Frame,42.332198333333324,-71.08596666666668,18.7,328143.0394891213,4688768.137557984,19,T
1663962541.3563194,0,71341,0,GPS1_Frame,42.33219333333333,-71.085955,18.6,328143.9870949858,4688767.5587693965,19,T
1663962542.3613503,0,71342,0,GPS1_Frame,42.332188333333335,-71.08594333333333,18.6,328144.9347010035,4688766.979980942,19,T
1663962543.3612416,0,71343,0,GPS1_Frame,42.332184999999996,-71.08593,18.6,328146.024164352,4688766.58289495,19,T
1663962544.3600032,0,71344,0,GPS1_Frame,42.33218,-71.08591833333334,18.7,328146.97177066084,4688766.004106779,19,T
1663962545.3999848,0,71345,0,GPS1_Frame,42.33217666666666,-71.085905,18.8,328148.0612342653,4688765.607021113,19,T
1663962546.3598545,0,71346,0,GPS1_Frame,42.33217166666667,-71.08589166666667,18.8,328149.1461586668,4688765.024865165,19,T
1663962547.3580813,0,71347,0,GPS1_Frame,42.33216666666667,-71.08587833333333,18.8,328150.23108324734,4688764.44270939,19,T
1663962548.4018505,0,71348,0,GPS1_Frame,42.332163333333334,-71.08586666666666,18.7,328151.1832294346,4688764.048992264,19,T
1663962549.3599808,0,71349,0,GPS1_Frame,42.33215833333334,-71.08585333333333,18.7,328152.26815432205,4688763.466836815,19,T
1663962550.3627071,0,71350,0,GPS1_Frame,42.33215333333332,-71.08584166666667,18.7,328153.21576154116,4688762.888049515,19,T
1663962551.3611746,0,71351,0,GPS1_Frame,42.33215,-71.08582833333334,18.8,328154.30522594193,4688762.490964848,19,T
1663962552.4008296,0,71352,0,GPS1_Frame,42.332145000000004,-71.08581666666667,18.8,328155.2528334523,4688761.912177837,19,T
1663962553.3628001,0,71353,0,GPS1_Frame,42.332139999999995,-71.085805,18.8,328156.20044111577,4688761.333390958,19,T
1663962554.3617165,0,71354,0,GPS1_Frame,42.332135,-71.08579166666667,19.0,328157.28536681493,4688760.751236313,19,T
1663962555.356274,0,71355,0,GPS1_Frame,42.33213000000001,-71.08578166666666,19.0,328158.09565690206,4688760.175817603,19,T
1663962556.3959184,0,71356,0,GPS1_Frame,42.332125,-71.08576833333333,19.0,328159.180582927,4688759.59366326,19,T
1663962557.3566208,0,71357,0,GPS1_Frame,42.33212,-71.08575666666667,19.0,328160.1281912138,4688759.014876935,19,T
1663962558.363564,0,71358,0,GPS1_Frame,42.33211333333334,-71.08574333333333,19.1,328161.2085785952,4688758.2476524655,19,T
1663962559.3972437,0,71359,0,GPS1_Frame,42.33210833333332,-71.08573333333334,19.2,328162.0188692825,4688757.672234225,19,T
1663962560.3993602,0,71360,0,GPS1_Frame,42.332105,-71.08572166666666,19.2,328162.9710169929,4688757.278518753,19,T
1663962561.3623505,0,71361,0,GPS1_Frame,42.332100000000004,-71.08571,19.2,328163.91862589214,4688756.699732959,19,T
1663962562.3586392,0,71362,0,GPS1_Frame,42.332093333333326,-71.08569833333333,19.2,328164.8616960579,4688755.935876845,19,T
1663962563.4008996,0,71363,0,GPS1_Frame,42.33208833333333,-71.08568666666666,19.3,328165.8093052893,4688755.357091319,19,T
1663962564.3590207,0,71364,0,GPS1_Frame,42.332085000000006,-71.08567500000001,19.4,328166.76145350677,4688754.963376378,19,T
1663962565.3632772,0,71365,0,GPS1_Frame,42.33208166666667,-71.08566333333333,19.4,328167.7136018299,4688754.569661566,19,T
1663962566.3993323,0,71366,0,GPS1_Frame,42.33208,-71.08565166666668,19.5,328168.67028903414,4688754.36101734,19,T
1663962567.3593884,0,71367,0,GPS1_Frame,42.33207833333333,-71.08563833333332,19.5,328169.76429429767,4688754.149005593,19,T
1663962568.3950226,0,71368,0,GPS1_Frame,42.33207833333333,-71.08562666666667,19.6,328170.72552033514,4688754.125432101,19,T
1663962569.3545432,0,71369,0,GPS1_Frame,42.33207833333333,-71.08561666666667,19.6,328171.5494283693,4688754.105226356,19,T
1663962570.3551638,0,71370,0,GPS1_Frame,42.33208333333334,-71.08560666666668,19.6,328172.3869524584,4688754.640232057,19,T
1663962571.355928,0,71371,0,GPS1_Frame,42.33209166666667,-71.08559833333334,19.5,328173.0962357719,4688755.548746345,19,T
1663962572.3854072,0,71372,0,GPS1_Frame,42.332100000000004,-71.08559333333332,19.4,328173.5308829926,4688756.463995849,19,T
1663962573.3558645,0,71373,0,GPS1_Frame,42.33210999999999,-71.08558833333333,19.4,328173.9700687522,4688757.56431583,19,T
1663962574.359479,0,71374,0,GPS1_Frame,42.33212,-71.08558333333333,19.3,328174.40925439034,4688758.664635839,19,T
1663962575.3598833,0,71375,0,GPS1_Frame,42.33212833333334,-71.08557833333333,19.2,328174.8439012746,4688759.579885418,19,T
